Yt-1 	 Yt 	 Transition Probability 
~ 	 @ 	 0.22757536526724614 
 @ 	 ~ 	 0.1429946682464455 
 ~ 	 O 	 0.02598483447383022 
 O 	 V 	 0.392447948749538 
 V 	 O 	 0.09934022581961638 
 O 	 ^ 	 0.006837501539977824 
 ^ 	 , 	 0.16335355621530914 
 , 	 $ 	 0.014495746262492773 
 $ 	 R 	 0.006395786305492851 
 R 	 A 	 0.09236854350860864 
 A 	 @ 	 0.007407950711456651 
 @ 	 O 	 0.05413210900473933 
 V 	 A 	 0.042545231941232484 
 A 	 , 	 0.08882206249083173 
 , 	 @ 	 0.060749979350788796 
 @ 	 ! 	 0.07560722748815164 
 ! 	 , 	 0.13640953150242327 
 , 	 O 	 0.06859667960683902 
 V 	 V 	 0.1265474085158482 
 V 	 P 	 0.13130866548768874 
 P 	 O 	 0.09004861901313747 
 P 	 V 	 0.10763421950967207 
 V 	 T 	 0.02758128145830499 
 T 	 N 	 0.011852502194907813 
 N 	 & 	 0.027399792930039933 
 & 	 V 	 0.06312091107341895 
 V 	 D 	 0.12552713916473948 
 D 	 N 	 0.3736367055283941 
 N 	 , 	 0.23520928856678006 
 , 	 ! 	 0.057033121334765007 
 ! 	 R 	 0.011207592891760905 
 R 	 O 	 0.043508608655188456 
 P 	 N 	 0.08694527774904313 
 , 	 V 	 0.09131081192698438 
 V 	 N 	 0.05070738675010202 
 N 	 V 	 0.08952078094956367 
 N 	 N 	 0.11318591924271558 
 A 	 P 	 0.06975209036232946 
 V 	 R 	 0.05648891307305128 
 R 	 P 	 0.06289747169225995 
 P 	 $ 	 0.02436122892314058 
 $ 	 N 	 0.08289440682217206 
 , 	 & 	 0.021103493846535062 
 $ 	 , 	 0.06282919488337096 
 , 	 R 	 0.03927479970265135 
 D 	 P 	 0.008211106932430738 
 P 	 , 	 0.01867176993896762 
 , 	 ^ 	 0.060336995126786155 
 ^ 	 ^ 	 0.15431780043887955 
 ^ 	 V 	 0.08074093197366722 
 P 	 ^ 	 0.09780697217337332 
 ^ 	 P 	 0.03943461985284626 
 P 	 D 	 0.1712527154236061 
 D 	 $ 	 0.008837908988341482 
 N 	 # 	 0.003734654636888034 
 # 	 # 	 0.06864588930682429 
 # 	 $ 	 0.004164427727028479 
 R 	 , 	 0.08383744377229718 
 , 	 A 	 0.031015115222598495 
 A 	 N 	 0.2714537186445651 
 , 	 N 	 0.056620137110762365 
 , 	 G 	 0.01408276203849013 
 G 	 N 	 0.017789244975556763 
 N 	 ~ 	 0.008911403638515013 
 ~ 	 U 	 0.035232106528574066 
 U 	 L 	 0.0061268620855358 
 L 	 N 	 0.01209001675843907 
 , 	 P 	 0.026885272982572064 
 D 	 D 	 0.005703898708787764 
 D 	 V 	 0.018239939827002633 
 , 	 D 	 0.03184108367060378 
 N 	 P 	 0.1557092146132229 
 R 	 V 	 0.14045292384054597 
 O 	 P 	 0.029629173339903905 
 R 	 & 	 0.004730882581045447 
 & 	 R 	 0.01950569420886843 
 R 	 R 	 0.0504885993485342 
 V 	 ! 	 0.004115086382805061 
 ! 	 @ 	 0.023323909531502426 
 O 	 , 	 0.06289269434520142 
 , 	 L 	 0.04133972082266457 
 L 	 R 	 0.06116830260952837 
 R 	 D 	 0.023344191096634093 
 D 	 ^ 	 0.05647486523755797 
 ^ 	 N 	 0.07493223183167677 
 ! 	 E 	 0.012217285945072699 
 E 	 @ 	 0.04341357857722478 
 @ 	 E 	 0.0052577014218009475 
 E 	 ! 	 0.013659724100622127 
 @ 	 A 	 0.012662914691943129 
 N 	 A 	 0.011869545925159 
 A 	 ! 	 0.010341792577380078 
 ! 	 P 	 0.015246365105008078 
 O 	 D 	 0.014229395096710607 
 L 	 V 	 0.11024658846061766 
 V 	 @ 	 0.011597061624268807 
 ! 	 O 	 0.04755654281098546 
 V 	 , 	 0.06295061896340634 
 , 	 ~ 	 0.039687783926654 
 ~ 	 ~ 	 0.021361198446458295 
 ~ 	 # 	 0.010264471980765673 
 # 	 ~ 	 0.02431488447071467 
 ~ 	 X 	 0.0028666543369705935 
 X 	 V 	 0.015309555854643338 
 P 	 R 	 0.012465087410778938 
 D 	 ~ 	 0.0025698884292340474 
 V 	 ^ 	 0.026901101890899195 
 O 	 ~ 	 0.004989528150794628 
 ~ 	 N 	 0.013038653597188829 
 , 	 U 	 0.040926736598661924 
 U 	 , 	 0.018140317155213838 
 $ 	 P 	 0.04527213443691999 
 P 	 U 	 0.0010861694424330196 
 U 	 $ 	 0.004925516578567996 
 P 	 Z 	 0.005741181338574532 
 Z 	 N 	 0.02465708687132593 
 ~ 	 A 	 0.009339744775291288 
 V 	 Z 	 0.0024146374642905724 
 P 	 G 	 0.004706734250543084 
 G 	 V 	 0.019147202607278653 
 ~ 	 P 	 0.007490290364342518 
 N 	 O 	 0.021853276142582458 
 N 	 U 	 0.013348617068480994 
 U 	 ~ 	 0.04216722729456992 
 ~ 	 , 	 0.014888108008137599 
 G 	 , 	 0.023221075502444326 
 N 	 @ 	 0.014088152640141991 
 D 	 A 	 0.11727466466090007 
 G 	 @ 	 0.013715372080391091 
 ! 	 ! 	 0.03544022617124394 
 ! 	 A 	 0.011207592891760905 
 A 	 A 	 0.01914331817515036 
 ! 	 V 	 0.02231421647819063 
 O 	 R 	 0.053652827399285445 
 P 	 @ 	 0.02125788765904624 
 @ 	 , 	 0.029694905213270142 
 ~ 	 V 	 0.02228592565193268 
 N 	 D 	 0.00965093921017601 
 N 	 G 	 0.011130010353498003 
 @ 	 P 	 0.017106042654028437 
 T 	 R 	 0.010389230318993269 
 N 	 E 	 0.010760242567667505 
 G 	 ^ 	 0.017789244975556763 
 ^ 	 U 	 0.012972763650445333 
 U 	 ! 	 0.014536280634310427 
 ^ 	 ! 	 0.006518652381567057 
 @ 	 @ 	 0.06227784360189573 
 N 	 ! 	 0.010390474781837007 
 V 	 $ 	 0.009216433138348525 
 N 	 R 	 0.02813932850170093 
 R 	 U 	 0.0024042190165968667 
 Z 	 A 	 0.013226649248856956 
 ! 	 N 	 0.019285137318255253 
 T 	 , 	 0.03380158033362599 
