t 		 t+1 	 prob 
 START 	 ~ 	 0.143271409152696 
 START 	 @ 	 0.3027639329406436 
 START 	 V 	 0.07893067512460357 
 START 	 ^ 	 0.06624376982328956 
 START 	 # 	 0.018214771182600828 
 START 	 L 	 0.036338921613049406 
 START 	 ! 	 0.05899410965111013 
 START 	 N 	 0.057181694608065284 
 START 	 , 	 0.01458994109651111 
 START 	 D 	 0.029995468962392403 
 START 	 O 	 0.07258722247394657 
 START 	 A 	 0.03543271409152698 
 START 	 G 	 0.007340280924331675 
 START 	 S 	 0.0028092433167195303 
 START 	 P 	 0.019120978704123253 
 START 	 E 	 0.008246488445854103 
 START 	 R 	 0.03090167648391483 
 START 	 $ 	 0.007340280924331675 
 START 	 X 	 0.0019030357951971013 
 START 	 U 	 0.0028092433167195303 
 START 	 & 	 0.0028092433167195303 
 START 	 M 	 0.000996828273674672 
 START 	 Z 	 0.000996828273674672 
 START 	 T 	 9.062075215224292e-05 
 START 	 Y 	 9.062075215224292e-05 
 ~ 	 @ 	 0.4710401891252955 
 ~ 	 O 	 0.05535855003940111 
 ~ 	 U 	 0.07505910165484633 
 ~ 	 ~ 	 0.03368794326241135 
 ~ 	 # 	 0.02186761229314421 
 ~ 	 X 	 0.006107171000788021 
 ~ 	 STOP 	 0.049448384554767535 
 ~ 	 A 	 0.01792750197005516 
 ~ 	 P 	 0.015957446808510637 
 ~ 	 , 	 0.03171788810086683 
 ~ 	 V 	 0.041568163908589445 
 ~ 	 $ 	 0.008077226162332543 
 ~ 	 D 	 0.019897557131599682 
 ~ 	 L 	 0.013987391646966114 
 ~ 	 ^ 	 0.04550827423167849 
 ~ 	 & 	 0.0021670606776989757 
 ~ 	 ! 	 0.03171788810086683 
 ~ 	 R 	 0.019897557131599682 
 ~ 	 N 	 0.02580772261623325 
 ~ 	 E 	 0.008077226162332543 
 ~ 	 G 	 0.0021670606776989757 
 ~ 	 Z 	 0.0021670606776989757 
 ~ 	 S 	 0.00019700551615445234 
 ~ 	 T 	 0.00019700551615445234 
 ~ 	 M 	 0.00019700551615445234 
 ~ 	 Y 	 0.00019700551615445234 
 @ 	 ~ 	 0.24220963172804516 
 @ 	 O 	 0.09026525882049956 
 @ 	 ! 	 0.12889518413597725 
 @ 	 E 	 0.00914241565799639 
 @ 	 A 	 0.022019057429822294 
 @ 	 , 	 0.05163533350502187 
 @ 	 P 	 0.02588204996137006 
 @ 	 @ 	 0.09927890806077769 
 @ 	 V 	 0.07738861704867367 
 @ 	 L 	 0.031032706670100423 
 @ 	 D 	 0.01686840072109193 
 @ 	 N 	 0.042621684264743734 
 @ 	 U 	 0.01815606489827452 
 @ 	 STOP 	 0.031032706670100423 
 @ 	 # 	 0.011717744012361569 
 @ 	 ^ 	 0.028457378315735245 
 @ 	 R 	 0.040046355910378556 
 @ 	 G 	 0.00914241565799639 
 @ 	 & 	 0.013005408189544158 
 @ 	 S 	 0.0014164305949008493 
 @ 	 $ 	 0.00656708730363121 
 @ 	 X 	 0.0027040947720834395 
 @ 	 T 	 0.00012876641771825904 
 @ 	 M 	 0.00012876641771825904 
 @ 	 Z 	 0.00012876641771825904 
 @ 	 Y 	 0.00012876641771825904 
 O 	 V 	 0.6031821646341463 
 O 	 ^ 	 0.009622713414634146 
 O 	 P 	 0.04582698170731707 
 O 	 , 	 0.09727515243902439 
 O 	 D 	 0.022008384146341466 
 O 	 ~ 	 0.005811737804878048 
 O 	 R 	 0.08298399390243902 
 O 	 N 	 0.020102896341463415 
 O 	 A 	 0.022961128048780487 
 O 	 & 	 0.017244664634146343 
 O 	 STOP 	 0.015339176829268292 
 O 	 E 	 0.008669969512195121 
 O 	 O 	 0.022008384146341466 
 O 	 G 	 0.0039062499999999996 
 O 	 T 	 0.01057545731707317 
 O 	 $ 	 0.001048018292682927 
 O 	 U 	 0.0020007621951219513 
 O 	 L 	 0.001048018292682927 
 O 	 ! 	 0.005811737804878048 
 O 	 X 	 0.001048018292682927 
 O 	 @ 	 0.001048018292682927 
 O 	 S 	 9.527439024390244e-05 
 O 	 M 	 9.527439024390244e-05 
 O 	 Z 	 9.527439024390244e-05 
 O 	 Y 	 9.527439024390244e-05 
 O 	 # 	 9.527439024390244e-05 
 V 	 O 	 0.12342601200033804 
 V 	 A 	 0.0515930026197921 
 V 	 V 	 0.1555395926645821 
 V 	 P 	 0.1631454407166399 
 V 	 T 	 0.03426857094566043 
 V 	 D 	 0.1559621397785853 
 V 	 N 	 0.0625792275838756 
 V 	 R 	 0.06976252852193018 
 V 	 ! 	 0.004267725851432434 
 V 	 STOP 	 0.013986309473506294 
 V 	 , 	 0.07821347080199442 
 V 	 ^ 	 0.0330009296036508 
 V 	 Z 	 0.0030000845094228005 
 V 	 $ 	 0.011028479675483815 
 V 	 @ 	 0.008493196991464547 
 V 	 L 	 0.00891574410546776 
 V 	 G 	 0.002577537395419589 
 V 	 & 	 0.009760838333474181 
 V 	 E 	 0.002577537395419589 
 V 	 ~ 	 0.0038451787374292226 
 V 	 U 	 0.0021549902814163775 
 V 	 # 	 0.0008873489394067437 
 V 	 X 	 0.0004648018254035325 
 V 	 S 	 0.0004648018254035325 
 V 	 M 	 4.225471140032114e-05 
 V 	 Y 	 4.225471140032114e-05 
 ^ 	 , 	 0.25840508405084056 
 ^ 	 ^ 	 0.24405494054940555 
 ^ 	 V 	 0.12720377203772038 
 ^ 	 P 	 0.06262812628126282 
 ^ 	 N 	 0.11490364903649038 
 ^ 	 U 	 0.020602706027060276 
 ^ 	 ! 	 0.00932759327593276 
 ^ 	 Z 	 0.010352603526035262 
 ^ 	 R 	 0.018552685526855274 
 ^ 	 ~ 	 0.0042025420254202545 
 ^ 	 E 	 0.0052275522755227555 
 ^ 	 A 	 0.013427634276342767 
 ^ 	 & 	 0.026752767527675282 
 ^ 	 STOP 	 0.020602706027060276 
 ^ 	 $ 	 0.026752767527675282 
 ^ 	 O 	 0.00830258302583026 
 ^ 	 T 	 0.0021525215252152525 
 ^ 	 D 	 0.0021525215252152525 
 ^ 	 S 	 0.0021525215252152525 
 ^ 	 G 	 0.015477654776547767 
 ^ 	 L 	 0.0031775317753177535 
 ^ 	 # 	 0.0021525215252152525 
 ^ 	 @ 	 0.0011275112751127515 
 ^ 	 X 	 0.00010250102501025012 
 ^ 	 M 	 0.00010250102501025012 
 ^ 	 Y 	 0.00010250102501025012 
 , 	 $ 	 0.01845637583892618 
 , 	 STOP 	 0.22142238579779175 
 , 	 O 	 0.07528685862740853 
 , 	 ! 	 0.06013206321714657 
 , 	 & 	 0.027657501623728084 
 , 	 R 	 0.043894782420437324 
 , 	 ^ 	 0.06121454860359385 
 , 	 V 	 0.1034314786750379 
 , 	 A 	 0.03090495778306993 
 , 	 N 	 0.0644620047629357 
 , 	 G 	 0.017373890452478894 
 , 	 P 	 0.03090495778306993 
 , 	 D 	 0.03523489932885906 
 , 	 L 	 0.04281229703399004 
 , 	 U 	 0.05255466551201559 
 , 	 ~ 	 0.023327560077938948 
 , 	 , 	 0.02603377354405716 
 , 	 # 	 0.02224507469149167 
 , 	 Z 	 0.0016778523489932888 
 , 	 E 	 0.025492530850833514 
 , 	 @ 	 0.013043948906689761 
 , 	 X 	 0.0016778523489932888 
 , 	 Y 	 0.0005953669625460057 
 , 	 S 	 5.412426932236416e-05 
 , 	 T 	 5.412426932236416e-05 
 , 	 M 	 5.412426932236416e-05 
 $ 	 R 	 0.022808586762075127 
 $ 	 N 	 0.29114490161001777 
 $ 	 , 	 0.22406082289803214 
 $ 	 P 	 0.16144901610017887 
 $ 	 & 	 0.009391771019677995 
 $ 	 A 	 0.06305903398926653 
 $ 	 M 	 0.0049194991055456164 
 $ 	 G 	 0.009391771019677995 
 $ 	 STOP 	 0.054114490161001776 
 $ 	 S 	 0.0049194991055456164 
 $ 	 U 	 0.0049194991055456164 
 $ 	 ~ 	 0.009391771019677995 
 $ 	 ^ 	 0.054114490161001776 
 $ 	 $ 	 0.01833631484794275 
 $ 	 ! 	 0.009391771019677995 
 $ 	 V 	 0.031753130590339886 
 $ 	 O 	 0.022808586762075127 
 $ 	 @ 	 0.0004472271914132378 
 $ 	 L 	 0.0004472271914132378 
 $ 	 X 	 0.0004472271914132378 
 $ 	 E 	 0.0004472271914132378 
 $ 	 T 	 0.0004472271914132378 
 $ 	 D 	 0.0004472271914132378 
 $ 	 Z 	 0.0004472271914132378 
 $ 	 Y 	 0.0004472271914132378 
 $ 	 # 	 0.0004472271914132378 
 R 	 A 	 0.16643376187814415 
 R 	 O 	 0.07699832308552261 
 R 	 P 	 0.11333147009502512 
 R 	 , 	 0.15106204583566232 
 R 	 V 	 0.25307434320849626 
 R 	 & 	 0.00852431525992174 
 R 	 R 	 0.0867803242034656 
 R 	 D 	 0.04206260480715482 
 R 	 U 	 0.004332029066517606 
 R 	 E 	 0.011319172722191163 
 R 	 STOP 	 0.01690888764673001 
 R 	 N 	 0.011319172722191163 
 R 	 L 	 0.0155114589155953 
 R 	 ^ 	 0.014114030184460587 
 R 	 ! 	 0.007126886528787029 
 R 	 ~ 	 0.0029346003353828945 
 R 	 G 	 0.007126886528787029 
 R 	 $ 	 0.004332029066517606 
 R 	 @ 	 0.001537171604248183 
 R 	 # 	 0.0029346003353828945 
 R 	 Z 	 0.001537171604248183 
 R 	 S 	 0.0001397428731134712 
 R 	 X 	 0.0001397428731134712 
 R 	 T 	 0.0001397428731134712 
 R 	 M 	 0.0001397428731134712 
 R 	 Y 	 0.0001397428731134712 
 A 	 STOP 	 0.03432117527862211 
 A 	 , 	 0.15210233029381973 
 A 	 P 	 0.11917426545086125 
 A 	 N 	 0.46745187436676827 
 A 	 A 	 0.031788247213779146 
 A 	 ! 	 0.011524822695035465 
 A 	 O 	 0.014057750759878427 
 A 	 V 	 0.017857142857142867 
 A 	 ^ 	 0.03305471124620063 
 A 	 U 	 0.003926038500506587 
 A 	 D 	 0.010258358662613987 
 A 	 & 	 0.03305471124620063 
 A 	 $ 	 0.020390070921985828 
 A 	 R 	 0.021656534954407305 
 A 	 T 	 0.001393110435663628 
 A 	 E 	 0.002659574468085108 
 A 	 L 	 0.007725430597771026 
 A 	 ~ 	 0.007725430597771026 
 A 	 G 	 0.005192502532928067 
 A 	 @ 	 0.002659574468085108 
 A 	 # 	 0.001393110435663628 
 A 	 S 	 0.00012664640324214799 
 A 	 X 	 0.00012664640324214799 
 A 	 M 	 0.00012664640324214799 
 A 	 Z 	 0.00012664640324214799 
 A 	 Y 	 0.00012664640324214799 
